Game,Console,Genre,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,Relase Year
"SoulCalibur V
",PS3,Fighting,Namco Bandai,Project Soul,7.8,N/A,N/A,1.02,N/A,N/A,N/A,N/A,N/A,31st Jan 12,N/A,2012
"Naruto: Ultimate Ninja Storm
",PS3,Fighting,Namco Bandai,CyberConnect2,7.8,7.8,N/A,N/A,1.07,0.49,0.34,0.09,0.15,04th Nov 08,N/A,2008
"Naruto Shippuden: Ultimate Ninja Storm Generations
",PS3,Fighting,Namco Bandai Games,CyberConnect2,7.7,N/A,N/A,N/A,0.74,0.27,0.25,0.14,0.09,13th Mar 12,12th Sep 18,2012
"Skullgirls
",PSN,Fighting,Unknown,Reverge Labs,7.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"WWE '12
",X360,Fighting,THQ,"Yuke's Co., Ltd.",7.6,7.5,N/A,N/A,1.27,0.74,0.40,0.00,0.12,22nd Nov 11,29th Jan 19,2011
"Photo Dojo
",DSiW,Fighting,Nintendo,Nintendo,7.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10th May 10,N/A,2010
"UFC Undisputed 2010
",PS3,Fighting,THQ,Yuke's Future Media Creators,7.5,8.4,N/A,N/A,1.42,0.80,0.40,0.02,0.19,25th May 10,N/A,2010
"Mortal Kombat: Skarlet
",PSN,Fighting,Unknown,Netherrealms,7.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Blade Strangers
",NS,Fighting,Nicalis,Studio Saizensen,7,8.3,N/A,N/A,0.04,0.03,N/A,N/A,0.00,28th Aug 18,28th Jul 18,2018
"BlazBlue: Cross Tag Battle
",PS4,Fighting,Arc System Works,Arc System Works,7,N/A,N/A,N/A,0.08,0.04,N/A,0.03,0.01,05th Jun 18,06th Jun 18,2018
"Dissidia Final Fantasy NT
",PS4,Fighting,Square Enix,Square Enix,7,N/A,N/A,N/A,0.46,0.19,0.06,0.16,0.05,30th Jan 18,10th Jan 18,2018
"Dragon Ball FighterZ
",PS4,Fighting,Namco Bandai Games,Arc System Works,7,N/A,N/A,3.79,N/A,N/A,N/A,N/A,N/A,26th Jan 18,02nd Apr 18,2018
"Injustice 2: Legendary Edition
",XOne,Fighting,Unknown,NetherRealm Studios,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29th Aug 22,N/A
"Legends of WrestleMania
",PS3,Fighting,THQ,Yuke's,7,N/A,N/A,N/A,0.55,0.30,0.17,0.00,0.07,24th Mar 09,N/A,2009
"Legends of WrestleMania
",X360,Fighting,THQ,Yuke's,7,N/A,N/A,N/A,0.39,0.20,0.15,N/A,0.04,24th Mar 09,N/A,2009
"SoulCalibur VI
",PS4,Fighting,Bandai Namco Games,Project Soul,7,N/A,N/A,N/A,0.71,0.44,0.11,0.04,0.12,19th Oct 18,07th Nov 18,2018
"Tekken 3D: Prime Edition
",3DS,Fighting,Namco Bandai,Namco Bandai Games,7,6.5,N/A,N/A,0.21,0.06,0.08,0.05,0.01,14th Feb 12,N/A,2012
"Them's Fightin' Herds
",XOne,Fighting,Unknown,Mane6,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30th Oct 22,N/A
Dragon Ball: Raging Blast,PS3,Fighting,Namco Bandai,Spike,N/A,5.6,N/A,N/A,0.77,0.37,0.19,0.11,0.10,10th Nov 09,N/A,2009
"Dragon Ball: Raging Blast
",X360,Fighting,Namco Bandai,Spike,6.5,5.8,N/A,N/A,0.51,0.36,0.08,0.02,0.04,10th Nov 09,N/A,2009
"Dungeon Fighter Online
",XBL,Fighting,Unknown,SoftMax,6.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
